"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 27 08:18:45 GMT 2024","Fri Sep 27 08:18:45 GMT 2024","49","chromium","legacy.test.ts","","","","test with links",""
"passed","Fri Sep 27 08:18:45 GMT 2024","Fri Sep 27 08:18:45 GMT 2024","49","chromium","legacy.test.js","","","","test with links",""
